date,user,location,text
2023-03-06 21:14:27+00:00,DrEricDing,Washington DC | Virginia,⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their chi… https://t.co/bNUIqnFqqY
2023-03-06 15:35:00+00:00,EpochTimes,"New York, USA","Tennis pro #NovakDjokovic will not compete at the #IndianWells Open in California for a 3rd consecutive year.

Djok… https://t.co/PSRlKCJcHN"
2023-03-07 16:01:42+00:00,backtolife_2023,,Mother expresses relief after children receive Covid19 vaccine https://t.co/idO3vG4MOu
2023-03-07 22:30:00+00:00,MailMyStatement,Colorado,"In about-face, Moderna vows Americans won't have to pay for its Covid-19 vaccine https://t.co/S8Yil6JWwv via @statnews #healthcare"
2023-03-07 22:25:50+00:00,EGreen30655694,"New York, NY",@CalltoActivism #We_The_People who watched the insurrection on primetime TV because of the big lie Trump started 🙄… https://t.co/00v23O91pi
2023-03-07 22:24:14+00:00,BiologicModels,,Doctors use this scientific model of #SARS-Cov2 Virion to explain to patients that the mRNA vaccine only codes for… https://t.co/2nqaExdA7R
2023-03-07 22:23:31+00:00,DarcyButcher,"Honolulu, Hawaii",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:21:27+00:00,pjavidan,Muwekma Ohlone land,"RT @ccleighton: Hospitalization rates demonstrate Canada is still in a crisis whether we call it a pandemic or endemic #COVID19.

Pls expla…"
2023-03-07 22:20:37+00:00,MarkThomson99,"Hobart, Tasmania",RT @DrEricDing: ⚠️CONSEQUENCES OF MISLEADING PARENTS that “Kids are practically immune”—Many parents were dishonest about their children ha…
2023-03-07 22:19:13+00:00,Bill90346152,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:18:22+00:00,nellypat22,,RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:13:58+00:00,_____Wimpy,"Georgia, USA",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:10:33+00:00,carlos_dang3r,"Texas, USA",RT @picphysicians: CDC data show mass vaccination with the COVID-19 vaccine has had no measurable impact on the COVID-19 mortality rate in…
2023-03-07 22:06:27+00:00,ChapCareOrg,San Gabriel Valley,"Dr. Kevin Pham, our in-house podiatrist, is a strong advocate for the #COVID19 vaccine and encourages everyone, esp… https://t.co/gqJz93UbTR"
2023-03-07 22:05:21+00:00,Patri0tRever3,,@JayGenXer @FreakCountry76 Pure 🩸🩸🩸 and proud of it. I refuse to donate my blood to any people who took the clot sh… https://t.co/oFfQiHCrTa
